product_name,rating,text,sentiment,sentiment_score,issues
Neutrogena,5,love this product works great amazing,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Neutrogena,5,my skin feels so soft,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Neutrogena,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
Neutrogena,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
Neutrogena,5,love this product works great amazing,positive,0.5,
Neutrogena,5,love this product works great amazing,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
Neutrogena,5,my skin feels so soft,positive,0.5,
Neutrogena,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
Neutrogena,5,my skin feels so soft,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,my skin feels so soft,positive,0.5,
CeraVe Cleanser,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,my skin feels so soft,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
CeraVe Cleanser,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
Cetaphil,5,my skin feels so soft,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,very hydrating and gentle,positive,0.5,
Cetaphil,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
La Roche-Posay,5,love this product works great amazing,positive,0.5,
Neutrogena,5,love this product works great amazing,positive,0.5,
Neutrogena,5,love this product works great amazing,positive,0.5,
Neutrogena,5,very hydrating and gentle,positive,0.5,
La Roche-Posay,5,very hydrating and gentle,positive,0.5,
